 Group,Name,Description,Color
Biological,Epidemic,is the rapid spread of infectious disease to a large number of people in a given population within a short period of time,
Biological,Insect Infestation,"The pervasive influx, swarming and/or hatching of insects affecting humans, animals, crops, and perishable goods. Examples locusts and African Bees.",
Biological,Animal Accident,Human encounters with dangerous or exotic animals in both urban and rural environments.,
Biological,Animal Disease Outbreak,,
Climatological,Drought,"An extended period of unusually low precipitation that produces a shortage of water for people, animals and plants. ",
Climatological,Wildfire,"Any uncontrolled and non-prescribed combustion or burning of plants in a natural setting such as a forest, grassland, brush land or tundra, which consumes the natural fuels and spreads based on environmental conditions (e.g., wind, topography).",
Fire,Residential Fire,Is a fire involving the structural components of various types of residential. Residential buildings range from single-family detached homes and townhouses to apartments and tower blocks.,
Fire,Non Residential Fire,Is a fire involving the structural components of various types of commercial or industrial buildings which ranging from offices to shopping malls.,
Geophysical,Earthquake,"A series of waves (with long wavelengths when traveling across the deep ocean) that are generated by a displacement of massive amounts of water through underwater earthquakes, volcanic eruptions or landslides. Tsunami waves travel at very high speed across the ocean but as they begin to reach shallow water they slow down and the wave grows steeper.",
Geophysical,Volcanic Activity,occurs when there is a sudden or continuing release of energy caused by near-surface or surface magma movement,
Geophysical,Mass Movement,Any type of downslope movement of earth materials.,
Hydrological,Floods,"A general term for the overflow of water from a stream channel onto normally dry land in the floodplain (riverine flooding), higher-thannormal levels along the coast and in lakes or reservoirs (coastal flooding) as well as ponding of water at or near the point where the rain fell (flash floods).",
Hydrological,Landslide,"A landslide is defined as the movement of a mass of rock, debris, or earth down a slope and may also be triggered by earthquakes.",
Hydrological,Wave Action,"Wind-generated surface waves that can occur on the surface of any open body of water such as oceans, rivers and lakes, etc. The size of the wave depends on the strength of the wind and the traveled distance (fetch).",
Hydrological,Beach Erosion,,
Meteorological,Storm,"Is any disturbed state of an environment or in an astronomical body's atmosphere especially affecting its surface, and strongly implying severe weather.",
Meteorological,Extreme Temperature,A general term for temperature variations above (extreme heat) or below (extreme cold) normal conditions.,
Meteorological,Fog,Water droplets that are suspended in the air near the Earth’s surface. Fog is simply a cloud that is in contact with the ground.,
Meteorological,Strong Winds,,
Meteorological,Tropical Cyclone,,
Pollution,Land Polution,"mean degradation or destruction of earth's surface and soil, either directly or indirectly as a result of human activities and their misiuse of land resources",
Pollution,Maritime Polution,"Marine pollution occurs when harmful, or potentially harmful, effects result from the entry into the ocean of chemicals, particles, industrial, agricultural, and residential waste, noise, or the spread of invasive organisms",
Polution,Air Polution,"occurs when harmful or excessive quantities of substances including gases, particulates, and biological molecules are introduced into Earth's atmosphere.",
Technological,Industrial Accident,"Is a ""discrete occurrence in the course of work"" leading to physical or mental occupational injury.Example Occurring during the production, transportation or handling of hazardous chemical substances 
",
Technological,Transport Accident,"an incident directly caused by the driving of a motor car or motor vehicle, a railway train or a tram.",
Technological,Marine Accident,"an incident directly caused by a ship, a boat, ferry or any vehicle that travels on water",
Technological,Aircraft Accident,"an incident directly caused by a plane, helicopter or any vehicle that travels in air",
